id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24

1.0,01-1024-3 / 青医24,医療法人同仁会　浪打病院,〒030－0902,青森市合浦二丁目１１－２４,017-741-4341,医療法人　同仁会　理事長　菊田　一貫,菊田　一貫 / 新規 / 令5. 8. 1,昭44. 8. 1 / 療養　　     32 / 内　外　整外　呼　リハ,一般　　     37 / 現存,病院,,,,,,,,,,,,,,

2.0,01-1216-5 / (01-3216-9) / 青医216,青森市民病院,〒030－0821,青森市勝田一丁目１４－２０,017-734-2171,青森市長　西　秀記,豊木　嘉一 / 新規 / 令5. 12. 16,昭38. 12. 16 / 外　精神神経科　小　糖尿病・内分泌内科　循環器内科　消化器内科　整外　脳外　心外　皮　ひ　産婦　眼　耳い　リハ　放　麻　歯外　形外　病理,一般　　    352 / 現存,病院,,,,,,,,,,,,,,

3.0,01-1352-8 / 青医352,福士内科胃腸科医院,〒030－0845,青森市緑一丁目１９－５,017-777-8363,福士　経雄,福士　経雄 / 新規 / 令4. 10. 1,昭46. 10. 1,内　呼　胃　循 / 現存,診療所,,,,,,,,,,,,,,

4.0,01-1396-5 / (01-3396-9) / 青医396,青森県立つくしが丘病院,〒038－0031,青森市大字三内字沢部３５３－９２,017-787-2121,青森県知事　宮下　宗一郎,桐生　一宏 / 新規 / 令6. 6. 1,昭51. 6. 1 / 精　神　歯,精神　　    230 / 現存,病院,,,,,,,,,,,,,,

5.0,01-1415-3 / 青医415,公益財団法人鷹揚郷　腎研究所　青森病院,〒038－0003,青森市大字石江字岡部１０１－１,017-781-9331,公益財団法人　鷹揚郷　理事長　鈴木　唯司,齋藤　文匡 / 新規 / 令4. 10. 1,昭52. 10. 1 / ひ　リハ　麻　内,一般　　     45 / 現存,病院,,,,,,,,,,,,,,

6.0,01-1445-0 / 青医445,社団法人慈恵会　青森慈恵会病院,〒038－0021,青森市大字安田字近野１４６－１,017-782-1201,一般社団法人　慈恵会　理事長　丹野　智宙,丹野　雅彦 / 新規 / 令6. 4. 15,昭54. 4. 15 / 精神　　     82 / 療養　　     96 / 内　外　整外　ひ　循　呼　消　リハ　麻　皮　精　リウ　アレ　和漢　脳内,一般　　    154 / 現存,病院,,,,,,,,,,,,,,

7.0,01-1462-5 / 青医462,青森保健生活協同組合生協さくら病院,〒030－0131,青森市問屋町一丁目１５－１０,017-738-2101,青森保健生活協同組合　理事長　横田　祐介,百成　公美 / 新規 / 令4. 6. 1,昭55. 6. 1 / 精　神　内　心内　リハ,精神　　    140 / 現存,病院,,,,,,,,,,,,,,

