id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24

1.0,131182.0,高木歯科医院,〒960－8253,福島市泉字道下１３－２,024-558-8148,高木　純仁,高木　純仁 / 新規 / 令6. 4. 2,昭54. 4. 2,歯 / 現存,診療所,,,,,,,,,,,,,,

2.0,131208.0,いわぶち歯科医院,〒960－8253,福島市泉字泉川９－１３,024-558-4658,岩渕　良幸,岩渕　良幸 / 新規 / 令6. 7. 1,昭54. 7. 1,歯　矯歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,

3.0,131299.0,吉田歯科医院,〒960－2261,福島市町庭坂字内町４４,024-591-4332,吉田　圭治,吉田　圭治 / 新規 / 令4. 11. 10,昭55. 11. 10,歯 / 現存,診療所,,,,,,,,,,,,,,

4.0,131307.0,樋口歯科医院,〒960－8201,福島市岡島字向中島６０－４,024-534-0648,樋口　亮一,樋口　亮一 / 新規 / 令4. 11. 1,昭55. 11. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

5.0,131364.0,いぬい歯科医院,〒960－8032,福島市陣場町８－２７,024-522-4325,乾　公人,乾　公人 / 移動 / 令5. 9. 1,昭56. 8. 24,歯 / 現存,診療所,,,,,,,,,,,,,,

6.0,131430.0,中山歯科医院,〒960－0101,福島市瀬上町字町尻７２－１,024-553-5501,中山　誠秀,中山　誠秀 / 新規 / 令3. 12. 1,昭57. 12. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

7.0,131521.0,板橋歯科医院,〒960－0111,福島市丸子字前川原５７－１６,024-553-2733,板橋　辰也,板橋　辰也 / 新規 / 令5. 9. 1,昭59. 4. 6,歯 / 現存,診療所,,,,,,,,,,,,,,

8.0,131554.0,古川歯科医院,〒960－8157,福島市蓬莱町６－８－２４,024-548-5561,古川　順,古川　順 / 新規 / 令5. 9. 1,昭59. 9. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

9.0,131646.0,入野歯科医院,〒960－8053,福島市三河南町１４－７,024-535-5015,入野　孝男,入野　孝男 / 新規 / 令4. 12. 1,昭61. 12. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

10.0,131653.0,やのめ歯科医院,〒960－0112,福島市南矢野目字小泉１７－７,024-558-2570,須藤　哲,須藤　哲 / 新規 / 令5. 1. 5,昭62. 1. 5,歯 / 現存,診療所,,,,,,,,,,,,,,

11.0,131745.0,あべ歯科医院,〒960－8073,福島市南中央２－３１,024-534-5885,阿部　満,阿部　満 / 新規 / 令5. 9. 28,昭62. 9. 28,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,

12.0,131752.0,工藤歯科医院,〒960－0231,福島市飯坂町平野字道下１２－５,024-542-0142,工藤　祐光,工藤　祐光 / 新規 / 令5. 12. 16,昭62. 12. 16,歯 / 現存,診療所,,,,,,,,,,,,,,

13.0,131794.0,とやの歯科医院,〒960－8152,福島市鳥谷野字水汲田４２－３,024-546-1182,鈴木　尚,鈴木　尚 / 新規 / 令6. 5. 1,昭63. 5. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

14.0,131836.0,宍戸歯科医院,〒960－8066,福島市矢剣町２０－１１,024-533-8118,宍戸　計一,宍戸　計一 / 移動 / 令6. 9. 27,昭63. 9. 27,歯 / 現存,診療所,,,,,,,,,,,,,,

15.0,131851.0,小笠原歯科医院,〒960－0201,福島市飯坂町字鯖湖町１９,024-542-0341,小笠原　尚史,小笠原　尚史 / 新規 / 令6. 11. 16,昭63. 11. 16,歯 / 現存,診療所,,,,,,,,,,,,,,

16.0,131877.0,小関歯科医院,〒960－8074,福島市西中央３－２３－３,024-534-4618,小関　洋,小関　洋 / 新規 / 令4. 3. 1,平元. 3. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

17.0,131893.0,森山歯科医院,〒960－8163,福島市方木田字稲荷塚３３－７,024-545-2015,森山　隆,森山　隆 / 新規 / 令4. 4. 1,平元. 4. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

18.0,131919.0,つつみ歯科医院,〒960－8003,福島市森合字上森合７－１,024-556-1798,堤　裕二,堤　裕二 / 新規 / 令4. 5. 12,平元. 5. 12,歯 / 現存,診療所,,,,,,,,,,,,,,

19.0,131935.0,くにさき小児歯科,〒960－8154,福島市伏拝字田中５－１,024-545-5849,國崎　幸史,國崎　幸史 / 新規 / 令4. 7. 1,平元. 7. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,

