id,code,name,prefecture,address,tel,corporation,director,established,bed_type_and_count,facility_type,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24

1.0,0230177,日野歯科医院,〒986－0877,石巻市錦町　４ー２４,0225-22-4230,日野　次男,日野　次男 / 交代 / 令4. 1. 1,昭55. 1. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

2.0,0230292,大街道鈴木歯科医院,〒986－0856,石巻市大街道南５－１－１７,0225-96-4636,鈴木　肇,鈴木　肇 / 新規 / 令6. 8. 1,昭51. 8. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

3.0,0230375,髙砂本家歯科医院,〒986－2111,石巻市三和町　７ー５,0225-24-2311,髙砂　知章,髙砂　知章 / 新規 / 令4. 6. 1,昭55. 6. 1,歯　矯歯 / 現存,診療所,,,,,,,,,,,,,,

4.0,0230409,鈴木歯科クリニック,〒986－0854,石巻市大街道北３丁目３－４５,0225-93-4182,鈴木　徹,鈴木　徹 / 移転 / 令6. 4. 6,平24. 4. 6,歯　小歯　歯外　矯歯 / 現存,診療所,,,,,,,,,,,,,,

5.0,0230417,千葉歯科クリニック,〒986－0861,石巻市蛇田字新埣寺　２０６ー１,0225-94-1771,千葉　明宏,千葉　明宏 / 移転 / 令4. 4. 1,昭61. 4. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

6.0,0230458,泉谷歯科医院,〒986－0814,石巻市南中里　２ー５ー３３,0225-95-7715,泉谷　信博,泉谷　信博 / 新規 / 令6. 4. 1,昭57. 4. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

7.0,0230508,青葉歯科医院,〒986－0853,石巻市門脇字青葉西　３３－１,0225-96-6602,鈴木　裕,鈴木　裕 / 新規 / 令4. 10. 1,昭58. 10. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

8.0,0230599,塚本歯科医院,〒986－2121,石巻市渡波町一丁目７番２５号,0225-97-3338,塚本　満志,塚本　満志 / 移転 / 令4. 9. 21,平22. 9. 21,歯 / 現存,診療所,,,,,,,,,,,,,,

9.0,0230607,木村歯科医院,〒986－0822,石巻市中央　２ー１０ー１,0225-95-8000,木村　祐二,木村　祐二 / 新規 / 令5. 11. 1,昭62. 11. 1,歯　小歯　歯外 / 現存,診療所,,,,,,,,,,,,,,

10.0,0230649,石巻歯科医師会休日歯科診療所、障がい児・者歯科診療所,〒986－0815,石巻市中里　３ー１０ー１２石巻口腔健康センター内,0225-94-8223,社団法人石巻歯科医師会　会長　鈴木　徹,鈴木　徹 / 新規 / 令6. 4. 1,平3. 4. 1,歯　小歯　矯歯　歯外 / 現存,診療所,,,,,,,,,,,,,,

11.0,0230664,植木歯科クリニック,〒986－0815,石巻市中里　６ー１０ー２８,0225-22-0066,植木　裕行,植木　裕行 / 新規 / 令4. 4. 1,平4. 4. 1,歯　矯歯　小歯 / 現存,診療所,,,,,,,,,,,,,,

12.0,0230672,本郷歯科医院,〒986－0861,石巻市蛇田字新丸井戸　２８－１４,0225-22-0775,本郷　聡一郎,本郷　聡一郎 / 新規 / 令4. 8. 1,平4. 8. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,

13.0,0230680,よしだファミリー歯科,〒986－2135,石巻市渡波字栄田　２２ー３,0225-24-1185,吉田　守克,吉田　守克 / 新規 / 令5. 10. 1,平5. 10. 1,歯　小歯 / 現存,診療所,,,,,,,,,,,,,,

14.0,0230698,門脇歯科クリニック,〒986－0871,石巻市清水町１丁目１０－１,0225-22-6480,古藤野　寿広,古藤野　寿広 / 移転 / 令5. 7. 1,平23. 7. 1,歯 / 現存,診療所,,,,,,,,,,,,,,

15.0,0230706,佐々木小児歯科医院,〒986－0861,石巻市蛇田字新西境谷地９９－７,0225-94-0110,医療法人社団佐々木小児歯科医院　理事長　佐々木仁弘,佐々木　仁弘 / 移転 / 令7. 2. 1,平19. 2. 1,小歯　矯歯　歯 / 現存,診療所,,,,,,,,,,,,,,

16.0,0230722,かとうデンタルクリニック,〒986－0863,石巻市向陽町　４－５－２,0225-23-8077,加藤　正次,加藤　正次 / 新規 / 令5. 9. 1,平8. 4. 1,歯　歯外 / 現存,診療所,,,,,,,,,,,,,,

